ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Grammage,Unit,Link,Scraping_Date,Discount,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit
32,lidl,Pasta Sauces,Kirschtomatensauce,Baresa,1.59,0.33,Kg,https://sortiment.lidl.ch/de/kirschtomatensauce-6015800,2024-11-01,no discount,1.59,4.818,4.818
35,lidl,Pasta Sauces,Tomatenketchup,Kania,1.19,1.0,Kg,https://sortiment.lidl.ch/de/tomatenketchup-6906368,2024-11-01,no discount,1.19,1.19,1.19
36,lidl,Pasta Sauces,Veganes Pesto,Vemondo,1.59,0.19,Kg,https://sortiment.lidl.ch/de/veganes-pesto-0162808,2024-11-01,no discount,1.59,8.368,8.368
37,lidl,Pasta Sauces,Pastasauce,Combino,1.09,0.4,L,https://sortiment.lidl.ch/de/pastasauce-0029787,2024-11-01,no discount,1.09,2.725,2.725
38,lidl,Pasta Sauces,Barilla Pesto,Barilla,3.99,0.19,Kg,https://sortiment.lidl.ch/de/barilla-pesto-0002861,2024-11-01,no discount,3.99,21.0,21.0
39,lidl,Pasta Sauces,Chinoisesaucen,Deluxe,1.49,0.18,Kg,https://sortiment.lidl.ch/de/chinoisesaucen-0001887,2024-11-01,no discount,1.49,8.278,8.278
41,lidl,Pasta Sauces,Barilla Arrabbiata Sauce,Barilla,2.99,0.4,Kg,https://sortiment.lidl.ch/de/barilla-arrabbiata-sauce-0001767,2024-11-01,no discount,2.99,7.475,7.475
42,lidl,Pasta Sauces,Barilla Napoletana Sauce,Barilla,2.99,0.4,Kg,https://sortiment.lidl.ch/de/barilla-napoletana-sauce-0001061,2024-11-01,no discount,2.99,7.475,7.475
43,lidl,Pasta Sauces,Barilla Basilico Sauce,Barilla,2.99,0.4,Kg,https://sortiment.lidl.ch/de/barilla-basilico-sauce-0001060,2024-11-01,no discount,2.99,7.475,7.475
44,lidl,Pasta Sauces,Bio Pastasauce,Combino,1.85,0.35,Kg,https://sortiment.lidl.ch/de/bio-pastasauce-0039124,2024-11-01,no discount,1.85,5.286,5.286
45,lidl,Pasta Sauces,Pesto,Italiamo,1.45,0.19,Kg,https://sortiment.lidl.ch/de/pesto-0011624,2024-11-01,no discount,1.45,7.632,7.632
47,lidl,Pasta Sauces,Barilla Bolognese/Ricotta Sauce,Barilla,3.99,0.4,Kg,https://sortiment.lidl.ch/de/barilla-bolognese-ricotta-sauce-0003353,2024-11-01,no discount,3.99,9.975,9.975
48,Migros,Pasta Sauces,Longobardi Pizza Sauce Basilikum,Longobardi,1.3,0.2,Kg,https://www.migros.ch//de/product/153220500000,2024-11-01,no discount,1.3,6.5,6.5
49,Migros,Pasta Sauces,Migros Bio Tomatensauce,Migros,3.1,0.4,Kg,https://www.migros.ch//de/product/153210200000,2024-11-01,no discount,3.1,7.75,7.75
50,Migros,Pasta Sauces,Salsa all' Italiana Tomatensauce Napoli,Salsa,1.55,0.25,L,https://www.migros.ch//de/product/153224200000,2024-11-01,no discount,1.55,6.2,6.2
51,Migros,Pasta Sauces,Agnesi Tomatensauce Basilico,Agnesi,2.95,0.4,Kg,https://www.migros.ch//de/product/153221700000,2024-11-01,no discount,2.95,7.375,7.375
52,Migros,Pasta Sauces,Agnesi Tomatensauce mit Gemüse,Agnesi,4.4,0.4,Kg,https://www.migros.ch//de/product/153222000000,2024-11-01,no discount,4.4,11.0,11.0
53,Migros,Pasta Sauces,Agnesi Pesto alla Genovese,Agnesi,3.9,0.185,Kg,https://www.migros.ch//de/product/153225800000,2024-11-01,no discount,3.9,21.081,21.081
54,Migros,Pasta Sauces,Demeter Tomatensauce basilico,Demeter,4.5,0.34,Kg,https://www.migros.ch//de/product/153211700000,2024-11-01,no discount,4.5,13.235,13.235
55,Migros,Pasta Sauces,Salsa all' Italiana Tomatensauce Basilikum und Olivenöl,Salsa,1.35,0.25,L,https://www.migros.ch//de/product/153224300000,2024-11-01,no discount,1.35,5.4,5.4
