ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Unit,Link,Scraping_Date,Discount,Grammage,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit,Distance_average_price
97,Mirgos,Pasta Sauces,V-Love Tomatensauce Bolognese,V-Love,2.25,Kg,https://www.migros.ch//de/product/153225700000,2024-11-01,no discount,0.35,2.25,6.429,6.429,-56.76%
98,Mirgos,Pasta Sauces,Sélection Trüffelpesto,Sélection,4.8,Kg,https://www.migros.ch//de/product/153211900000,2024-11-01,no discount,0.13,4.8,36.923,36.923,148.33%
99,Mirgos,Pasta Sauces,Sélection Pesto peperoncin,Sélection,4.6,Kg,https://www.migros.ch//de/product/153212000000,2024-11-01,no discount,0.13,4.6,35.385,35.385,137.98%
100,Mirgos,Pasta Sauces,Aus der Region Tomatensugo Basili.,Aus der Region,6.5,L,https://www.migros.ch//de/product/153264000000,2024-11-01,no discount,0.36,6.5,18.056,18.056,21.44%
102,Mirgos,Pasta Sauces,Agnesi Pesto mit Aubergine,Agnesi,5.55,Kg,https://www.migros.ch//de/product/153223800000,2024-11-01,no discount,2.185,5.55,2.54,2.54,-82.92%
103,Mirgos,Pasta Sauces,Migros Bio Tomatensauce scharf,Migros,4.95,Kg,https://www.migros.ch//de/product/153212500000,2024-11-01,no discount,2.35,4.95,2.106,2.106,-85.84%
104,Mirgos,Pasta Sauces,Monini Pesto Rucola,Monini,3.9,Kg,https://www.migros.ch//de/product/153240400000,2024-11-01,no discount,0.19,3.9,20.526,20.526,38.05%
105,Mirgos,Pasta Sauces,Agnesi Sauce Bolognese,Agnesi,10.5,Kg,https://www.migros.ch//de/product/153224600000,2024-11-01,no discount,4.4,10.5,2.386,2.386,-83.95%
106,Mirgos,Pasta Sauces,Sugo Carciofi,Sugo,4.35,Kg,https://www.migros.ch//de/product/153226000000,2024-11-01,20.0%,0.33,3.48,13.182,10.545,-11.34%
107,Mirgos,Pasta Sauces,Aus der Region Pesto Vaudois,Aus der Region,6.95,Kg,https://www.migros.ch//de/product/153265200000,2024-11-01,no discount,0.09,6.95,77.222,77.222,419.36%
108,Mirgos,Pasta Sauces,Monini Pesto Rosso,Monini,3.9,Kg,https://www.migros.ch//de/product/153240500000,2024-11-01,no discount,0.19,3.9,20.526,20.526,38.05%
109,Mirgos,Pasta Sauces,Monini Pesto Genovese,Monini,3.9,Kg,https://www.migros.ch//de/product/153240600000,2024-11-01,no discount,0.19,3.9,20.526,20.526,38.05%
110,Mirgos,Pasta Sauces,Da Emilio Pesto Limone,Da Emilio,3.6,Kg,https://www.migros.ch//de/product/153227700000,2024-11-01,20.0%,0.13,2.88,27.692,22.154,86.24%
111,Mirgos,Pasta Sauces,V-Love Pesto genovese,V-Love,2.3,Kg,https://www.migros.ch//de/product/153272700000,2024-11-01,no discount,0.13,2.3,17.692,17.692,18.99%
112,Mirgos,Pasta Sauces,"Bon Chef Sauce Carbonara Eiern, Rahm und Speck, für Teigwaren",Bon Chef,1.9,Kg,https://www.migros.ch//de/product/106508300000,2024-11-01,no discount,0.022,1.9,86.364,86.364,480.85%
113,Mirgos,Pasta Sauces,La Molisana Pastasauce Marinara,La Molisana,2.5,Kg,https://www.migros.ch//de/product/153200700000,2024-11-01,no discount,0.34,2.5,7.353,7.353,-50.55%
114,Mirgos,Pasta Sauces,La Molisana Pesto Basilico,La Molisana,3.9,Kg,https://www.migros.ch//de/product/153200500000,2024-11-01,no discount,0.19,3.9,20.526,20.526,38.05%
115,Mirgos,Pasta Sauces,Migros Bio Tomatensauce mit Gemüse,Migros,4.25,Kg,https://www.migros.ch//de/product/153239500000,2024-11-01,no discount,0.42,4.25,10.119,10.119,-31.94%
116,Mirgos,Pasta Sauces,La Molisana Pastasauce Arrabbiata,La Molisana,2.5,Kg,https://www.migros.ch//de/product/153200800000,2024-11-01,no discount,0.34,2.5,7.353,7.353,-50.55%
117,Mirgos,Pasta Sauces,La Molisana Pesto Rosso,La Molisana,3.9,Kg,https://www.migros.ch//de/product/153200600000,2024-11-01,no discount,0.19,3.9,20.526,20.526,38.05%
118,Mirgos,Pasta Sauces,Da Emilio Tomatensauce Napoletana,Da Emilio,3.6,Kg,https://www.migros.ch//de/product/153227200000,2024-11-01,20.0%,0.29,2.88,12.414,9.931,-16.51%
120,Mirgos,Pasta Sauces,Da Emilio Tomatensauce Aglio e Peperoncino,Da Emilio,3.45,Kg,https://www.migros.ch//de/product/153226200000,2024-11-01,20.0%,0.33,2.76,10.455,8.364,-29.68%
121,Mirgos,Pasta Sauces,Bon Chef Sauce Napoli für Teigwaren,Bon Chef,1.9,Kg,https://www.migros.ch//de/product/106508500000,2024-11-01,no discount,0.05,1.9,38.0,38.0,155.57%
122,Mirgos,Pasta Sauces,Garofalo Tomatensauce arrabbiata,Garofalo,2.8,Kg,https://www.migros.ch//de/product/153236700000,2024-11-01,no discount,0.18,2.8,15.556,15.556,4.62%
123,Mirgos,Pasta Sauces,Garofalo Pesto Alla Calabrese,Garofalo,4.1,Kg,https://www.migros.ch//de/product/153235700000,2024-11-01,no discount,0.18,4.1,22.778,22.778,53.19%
124,Mirgos,Pasta Sauces,Alnatura Tomatensauce Toskana,Alnatura,2.3,Kg,https://www.migros.ch//de/product/153270800000,2024-11-01,no discount,0.34,2.3,6.765,6.765,-54.5%
125,Mirgos,Pasta Sauces,Agnesi Arrabbiatasauce,Agnesi,2.2,Kg,https://www.migros.ch//de/product/153200300000,2024-11-01,no discount,0.19,2.2,11.579,11.579,-22.12%
126,Mirgos,Pasta Sauces,Alnatura Tomatensauce Ricotta Bio,Alnatura,3.2,L,https://www.migros.ch//de/product/153271500000,2024-11-01,no discount,0.35,3.2,9.143,9.143,-38.51%
127,Mirgos,Pasta Sauces,M-Budget Tomatensauce mit Basilikum,M-Budget,1.05,Kg,https://www.migros.ch//de/product/153211500000,2024-11-01,no discount,0.42,1.05,2.5,2.5,-83.19%
128,Mirgos,Pasta Sauces,Da Emilio Tomatensauce mit Datteltomaten,Da Emilio,2.6,Kg,https://www.migros.ch//de/product/153255000000,2024-11-01,20.0%,0.33,2.08,7.879,6.303,-47.01%
129,Mirgos,Pasta Sauces,Alnatura Bolognese Sauce,Alnatura,3.1,L,https://www.migros.ch//de/product/153271700000,2024-11-01,no discount,0.33,3.1,9.394,9.394,-36.82%
130,Mirgos,Pasta Sauces,Alnatura Sugo Piccante,Alnatura,2.25,Kg,https://www.migros.ch//de/product/153270600000,2024-11-01,no discount,0.34,2.25,6.618,6.618,-55.49%
131,Mirgos,Pasta Sauces,V-Love Tomatensauce,V-Love,3.5,Kg,https://www.migros.ch//de/product/153272600000,2024-11-01,no discount,0.29,3.5,12.069,12.069,-18.83%
133,Mirgos,Pasta Sauces,Migros Bio salsa mit getrockneten Tomaten,Migros,3.5,Kg,https://www.migros.ch//de/product/153212200000,2024-11-01,no discount,0.42,3.5,8.333,8.333,-43.96%
134,Mirgos,Pasta Sauces,Alnatura Pesto Verde,Alnatura,2.4,Kg,https://www.migros.ch//de/product/153271800000,2024-11-01,no discount,0.12,2.4,20.0,20.0,34.51%
135,Mirgos,Pasta Sauces,Da Emilio Tomatensauce Ciliegino con basilico,Da Emilio,2.6,Kg,https://www.migros.ch//de/product/153225900000,2024-11-01,20.0%,0.33,2.08,7.879,6.303,-47.01%
136,Mirgos,Pasta Sauces,Migros Bio Tomatensauce Arrabbiata,Migros,3.2,Kg,https://www.migros.ch//de/product/153238900000,2024-11-01,no discount,0.42,3.2,7.619,7.619,-48.76%
